paper_id,sample_id,canonical,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,source_pool,latitude,longitude
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Nap_ngg,2.0,Unknown,table_p2_ri1_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Nap_ngg,25.63,Unknown,table_p2_ri1_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Nap_ngg,18.02,Unknown,table_p2_ri1_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Acy_ngg,3.0,Unknown,table_p2_ri2_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Acy_ngg,11.66,Unknown,table_p2_ri2_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Acy_ngg,2.92,Unknown,table_p2_ri2_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Ace_ngg,3.0,Unknown,table_p2_ri3_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Ace_ngg,15.04,Unknown,table_p2_ri3_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Ace_ngg,11.31,Unknown,table_p2_ri3_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Flu_ngg,3.0,Unknown,table_p2_ri4_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Flu_ngg,16.14,Unknown,table_p2_ri4_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Flu_ngg,6.35,Unknown,table_p2_ri4_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Phe_ngg,3.0,Unknown,table_p2_ri5_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Phe_ngg,38.13,Unknown,table_p2_ri5_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Phe_ngg,12.55,Unknown,table_p2_ri5_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
