paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_Fuzhou_(n=7),OTC_ngg,100.0,Unknown,table_p3_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_col6,OTC_ngg,7.4,Unknown,table_p5_ri4_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_col8,OTC_ngg,13.21,Unknown,table_p5_ri4_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_col2,CTC_ngg,92.49,Unknown,table_p5_ri6_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_col3,CTC_ngg,71.29,Unknown,table_p5_ri6_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_col4,CTC_ngg,68.84,Unknown,table_p5_ri6_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_col5,CTC_ngg,124.96,Unknown,table_p5_ri6_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_col8,CTC_ngg,45.78,Unknown,table_p5_ri6_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_col10,CTC_ngg,58.49,Unknown,table_p5_ri6_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S2,OTC_ngg,0.0,Unknown,table_p6_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S2,CTC_ngg,0.0,Unknown,table_p6_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S2,OC_pct,0.058,Unknown,table_p6_ri2_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S4,OTC_ngg,0.91,Unknown,table_p6_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S4,CTC_ngg,0.894,Unknown,table_p6_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S4,OC_pct,0.84,Unknown,table_p6_ri4_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S6,OTC_ngg,0.001,Unknown,table_p6_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S6,CTC_ngg,0.002,Unknown,table_p6_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S6,OC_pct,0.0,Unknown,table_p6_ri6_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S8,OTC_ngg,0.386,Unknown,table_p6_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S8,CTC_ngg,0.181,Unknown,table_p6_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S8,OC_pct,0.499,Unknown,table_p6_ri8_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_tetX,OTC_ngg,0.436,Unknown,table_p6_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_tetX,CTC_ngg,0.424,Unknown,table_p6_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_tetX,OC_pct,0.371,Unknown,table_p6_ri9_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S10,OTC_ngg,0.092,Unknown,table_p6_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S10,CTC_ngg,0.102,Unknown,table_p6_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S10,OC_pct,0.158,Unknown,table_p6_ri10_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S12,OTC_ngg,0.003,Unknown,table_p6_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S12,CTC_ngg,0.01,Unknown,table_p6_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_S12,OC_pct,0.002,Unknown,table_p6_ri12_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
