镉,铅,砷,铜,锌,镍,铬,汞,超标因子数,标签,镉__missing,铅__missing,砷__missing,铜__missing,锌__missing,镍__missing,铬__missing,汞__missing
0.2932879377431907,29.527966926070036,13.326848249027238,33.686284046692606,121.67923151750976,42.24464980544747,91.62986381322956,0.0683199999999999,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2095837366892546,25.48281703775411,15.376573088092933,27.934656340755083,90.97071636011616,37.7187802516941,71.01839303000968,0.06594,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.291746641074856,41.78334932821497,15.479366602687142,50.309021113243766,209.02615163147792,35.197216890595016,93.38003838771594,0.02891,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1080817916260954,27.008519961051608,14.890457643622202,32.80817916260955,84.87706913339825,39.11733203505355,76.75511197663097,0.0025,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1566205533596837,28.744812252964422,6.86808300395257,27.272233201581027,75.07979249011858,36.416501976284586,54.4659090909091,0.002,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1859223300970874,32.820145631067966,7.739805825242719,81.6509708737864,128.2580097087379,83.82864077669905,187.8606796116505,0.002,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.331888246628131,27.674132947976876,13.635356454720617,34.76011560693642,117.69099229287092,39.18159922928709,70.49084778420038,0.00349,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1771428571428571,25.956904761904763,13.383333333333336,32.53523809523809,95.69214285714288,37.83238095238095,75.2152380952381,0.17332,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1423902894491129,20.998366013071895,6.494864612511671,28.3874883286648,77.51283846872082,29.20074696545285,56.56349206349207,0.03191,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2135874877810361,29.28421309872923,11.921798631476053,37.929618768328446,96.94305962854352,45.88465298142717,92.49951124144673,0.002,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
