paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
02757540.2010.504664,02757540.2010.504664_Max.,Max.,SumHCH_ngg,2.1,Unknown,,high,table_p7_ri4_ci4,"Table 1.Concentrations (ng $\cdot \mathbf { g } ^ { - 1 }$ dw) of HCHs and DDTs in soils from north coastal and riverine areas of the Bohai Sea,soil properties and soil guideline values for correspond"
02757540.2010.504664,02757540.2010.504664_Max.,Max.,SumHCH_ngg,1.2,Unknown,,high,table_p7_ri5_ci4,"Table 1.Concentrations (ng $\cdot \mathbf { g } ^ { - 1 }$ dw) of HCHs and DDTs in soils from north coastal and riverine areas of the Bohai Sea,soil properties and soil guideline values for correspond"
02757540.2010.504664,02757540.2010.504664_Max.,Max.,OC_pct,3.1,Unknown,,high,table_p7_ri14_ci4,"Table 1.Concentrations (ng $\cdot \mathbf { g } ^ { - 1 }$ dw) of HCHs and DDTs in soils from north coastal and riverine areas of the Bohai Sea,soil properties and soil guideline values for correspond"
02757540.2010.504664,02757540.2010.504664_Min.,Min.,pH,5.0,Unknown,,high,table_p7_ri15_ci3,"Table 1.Concentrations (ng $\cdot \mathbf { g } ^ { - 1 }$ dw) of HCHs and DDTs in soils from north coastal and riverine areas of the Bohai Sea,soil properties and soil guideline values for correspond"
02757540.2010.504664,02757540.2010.504664_Max.,Max.,pH,8.3,Unknown,,high,table_p7_ri15_ci4,"Table 1.Concentrations (ng $\cdot \mathbf { g } ^ { - 1 }$ dw) of HCHs and DDTs in soils from north coastal and riverine areas of the Bohai Sea,soil properties and soil guideline values for correspond"
02757540.2010.504664,02757540.2010.504664_α-HCH,α-HCH,SumHCH_ngg,1.0,Unknown,,high,table_p12_ri1_ci1,Table 2.Relationship between OCPs (individual HCHs and DDTs)and selected soil properties.
02757540.2010.504664,02757540.2010.504664_β-HCH,β-HCH,SumHCH_ngg,1.0,Unknown,,high,table_p12_ri2_ci2,Table 2.Relationship between OCPs (individual HCHs and DDTs)and selected soil properties.
02757540.2010.504664,02757540.2010.504664_β-HCH,β-HCH,SumHCH_ngg,0.191,Unknown,,high,table_p12_ri3_ci2,Table 2.Relationship between OCPs (individual HCHs and DDTs)and selected soil properties.
02757540.2010.504664,02757540.2010.504664_y-HCH,y-HCH,SumHCH_ngg,1.0,Unknown,,high,table_p12_ri3_ci3,Table 2.Relationship between OCPs (individual HCHs and DDTs)and selected soil properties.
02757540.2010.504664,02757540.2010.504664_β-HCH,β-HCH,SumHCH_ngg,0.306,Unknown,,high,table_p12_ri4_ci2,Table 2.Relationship between OCPs (individual HCHs and DDTs)and selected soil properties.
02757540.2010.504664,02757540.2010.504664_8-HCH,8-HCH,SumHCH_ngg,1.0,Unknown,,high,table_p12_ri4_ci4,Table 2.Relationship between OCPs (individual HCHs and DDTs)and selected soil properties.
02757540.2010.504664,02757540.2010.504664_α-HCH,α-HCH,OC_pct,0.302,Unknown,,high,table_p12_ri11_ci1,Table 2.Relationship between OCPs (individual HCHs and DDTs)and selected soil properties.
02757540.2010.504664,02757540.2010.504664_β-HCH,β-HCH,OC_pct,0.264,Unknown,,high,table_p12_ri11_ci2,Table 2.Relationship between OCPs (individual HCHs and DDTs)and selected soil properties.
